name	kind	기준	편성	type
경제	진로선택	43	33	4
경제 수학	진로선택	43	3	4
고급 체육 전공 실기	진로선택	34	4	4
과학의 역사와 문화	융합선택	43	3	4
광고 콘텐츠 제작	진로선택	44	4	4
교육의 이해	진로선택	33	33	4
기술·가정	일반선택	44	44	4
기초 체육 전공 실기	진로선택	33	33	4
기하	진로선택	43	33	4
기후변화와 지속가능한 세계	융합선택	43	3	4
기후변화와 환경생태	융합선택	43	3	4
논술	융합선택	33	33	4
대수	일반선택	44	44	4
데이터 과학	진로선택	43	33	4
도시의 미래 탐구	진로선택	43	33	4
독서와 작문	일반선택	44	4	4
독서토론과 글쓰기	융합선택	44	44	4
동아시아 역사 기행	진로선택	43	3	4
드로잉	진로선택	33	3	4
로봇과 공학세계	진로선택	44	4	4
매체 의사소통	융합선택	43	3	4
문학	일반선택	44	44	4
문학과 영상	진로선택	43	3	4
물리학	일반선택	43	33	4
물리학 실험	융합선택	43	3	4
물질과 에너지	진로선택	43	3	4
미디어 영어	융합선택	43	33	4
미술 전공 실기	진로선택	33	33	4
미술과 매체	융합선택	33	3	4
미적분Ⅰ	일반선택	44	44	4
미적분Ⅱ	진로선택	43	33	4
법과 사회	진로선택	43	33	4
보건	진로선택	33	33	4
사회문제 탐구	융합선택	43	3	4
사회와 문화	일반선택	43	33	4
삶과 종교	진로선택	33	33	4
색채 일반	진로선택	43	33	4
생명과학	일반선택	43	3	4
생명과학 실험	융합선택	43	3	4
생물의 유전	진로선택	43	3	4
생태와 환경	일반선택	33	33	4
생활과학 탐구	진로선택	44	4	4
세계 문화와 영어	융합선택	43	33	4
세계사	일반선택	43	3	4
세계시민과 지리	일반선택	43	33	4
세포와 물질대사	진로선택	43	33	4
수학과 문화	융합선택	44	44	4
수학과제 탐구	융합선택	44	44	4
스포츠 행정 및 경영	융합선택	34	4	4
시각 디자인	진로선택	43	3	4
시창·청음	진로선택	33	3	4
실생활 영어 회화	융합선택	44	4	4
실용 통계	융합선택	43	33	4
심화 영어	진로선택	44	44	4
심화 영어 독해와 작문	진로선택	44	44	4
심화 일본어	진로선택	43	3	4
심화 중국어	진로선택	43	3	4
심화 체육 전공 실기	진로선택	34	4	4
아동발달과 부모	융합선택	44	4	4
언어생활 탐구	융합선택	43	3	4
언어생활과 한자	융합선택	43	33	4
여행지리	융합선택	43	3	4
역사로 탐구하는 현대 세계	융합선택	43	3	4
역학과 에너지	진로선택	43	33	4
연극	일반선택	33	33	4
영미 문학 읽기	진로선택	43	33	4
영상 제작 기초	진로선택	44	4	4
영어 독해와 작문	일반선택	44	44	4
영어 발표와 토론	진로선택	44	4	4
영어Ⅰ	일반선택	44	44	4
영어Ⅱ	일반선택	44	44	4
영화 콘텐츠 제작	진로선택	44	4	4
운동과 건강	진로선택	33	33	4
윤리문제 탐구	융합선택	43	3	4
윤리와 사상	진로선택	43	33	4
음악 전공 실기	진로선택	33	3	4
음악 콘텐츠 제작	진로선택	44	4	4
음악 콘텐츠 제작 기초	진로선택	43	3	4
음악과 미디어	융합선택	33	3	4
이산 수학	진로선택	43	33	4
인간과 경제활동	융합선택	33	3	4
인간과 심리	진로선택	33	3	4
인간과 철학	진로선택	33	3	4
인공지능 기초	진로선택	43	33	4
인공지능 수학	진로선택	43	33	4
인문학과 윤리	진로선택	43	33	4
일본 문화	융합선택	43	33	4
일본어	일반선택	43	33	4
일본어 회화	진로선택	43	3	4
전문 수학	진로선택	44	4	4
전자기와 양자	진로선택	43	3	4
정보과학	진로선택	43	33	4
정치	진로선택	43	33	4
조형	진로선택	43	33	4
주제 탐구 독서	진로선택	43	33	4
중국 문화	융합선택	43	3	4
중국어	일반선택	43	3	4
중국어 회화	진로선택	43	33	4
지구과학	일반선택	43	3	4
지구과학 실험	융합선택	43	3	4
지구시스템과학	진로선택	43	3	4
직무 수학	진로선택	43	33	4
직무 영어	진로선택	44	44	4
직무 의사소통	진로선택	44	4	4
진로와 직업	일반선택	33	3	4
창의공학설계	융합선택	43	33	4
프로그래밍	진로선택	43	33	4
한국지리 탐구	진로선택	43	33	4
한문	일반선택	43	33	4
한문 고전 읽기	진로선택	43	3	4
행성우주과학	진로선택	43	3	4
현대사회와 윤리	일반선택	43	33	4
화법과 언어	일반선택	44	4	4
화학	일반선택	43	3	4
화학 반응의 세계	진로선택	43	3	4
화학 실험	융합선택	43	3	4
확률과 통계	일반선택	43	33	4
